Geração,mutacao1,mutacao5,roleta,torneio,elitismo,somente_filhos,uniforme,dois_pontos
626,900,900,900,898,900,900,900,900
627,900,900,900,898,900,900,900,900
628,900,900,900,898,900,900,900,900
629,900,900,900,898,900,900,900,900
630,900,900,900,898,900,900,900,900
631,900,900,900,898,900,900,900,900
632,900,900,900,898,900,900,900,900
633,900,900,900,898,900,900,900,900
634,900,900,900,898,900,900,900,900
635,900,900,900,898,900,900,900,900
636,900,900,900,898,900,900,900,900
637,900,900,900,898,900,900,900,900
638,900,900,900,898,900,900,900,900
639,900,900,900,898,900,900,900,900
640,900,900,900,898,900,900,900,900
641,900,900,900,898,900,900,900,900
642,900,900,900,898,900,900,900,900
643,900,900,900,898,900,900,900,900
644,900,900,900,898,900,900,900,900
645,900,900,900,898,900,900,900,900
646,900,900,900,898,900,900,900,900
647,900,900,900,898,900,900,900,900
648,900,900,900,898,900,900,900,900
649,900,900,900,898,900,900,900,900
650,900,900,900,898,900,900,900,900
651,900,900,900,898,900,900,900,900
652,900,900,900,898,900,900,900,900
653,900,900,895,898,900,900,900,900
654,900,900,900,898,900,900,900,900
655,900,900,900,898,900,900,900,900
656,900,900,900,898,900,900,900,900
657,900,900,900,898,900,900,900,900
658,900,900,895,898,900,900,900,900
659,900,900,895,898,900,900,900,900
660,900,900,900,898,900,900,900,900
661,900,900,900,898,900,900,900,900
662,900,900,900,898,900,900,900,900
663,900,900,900,898,900,900,900,900
664,900,900,900,898,900,900,900,900
665,900,900,895,898,900,900,900,900
666,900,900,900,898,900,900,900,900
667,900,900,900,898,900,900,900,900
668,900,900,900,898,900,900,900,900
669,900,900,900,898,900,900,900,900
670,900,900,895,898,900,900,900,900
671,900,900,895,898,900,900,900,900
672,900,900,895,898,900,900,900,900
673,900,900,900,898,900,900,900,900
674,900,900,895,898,900,900,900,900
675,900,900,900,898,900,900,900,900
676,900,900,900,898,900,900,900,900
677,900,900,900,898,900,900,900,900
678,900,900,900,898,900,900,900,900
679,900,900,900,898,900,900,900,900
680,900,900,900,898,900,900,900,900
681,900,900,900,898,900,900,900,900
682,900,900,900,898,900,900,900,900
683,900,900,900,898,900,900,900,900
684,900,900,900,898,900,900,900,900
685,900,900,900,898,900,900,900,900
686,900,900,900,898,900,900,900,900
687,900,900,900,898,900,900,900,900
688,900,900,900,898,900,900,900,900
689,900,900,900,898,900,900,900,900
690,900,900,900,898,900,900,900,900
691,900,900,900,898,900,900,900,900
692,900,900,900,898,900,900,900,900
693,900,900,900,898,900,900,900,900
694,900,900,900,898,900,900,900,900
695,900,900,900,898,900,900,900,900
696,900,900,900,898,900,900,900,900
697,900,900,900,898,900,900,900,900
698,900,900,900,898,900,900,900,900
699,900,900,895,898,900,900,900,900
700,900,900,895,898,900,900,900,900
701,900,900,900,898,900,900,900,900
702,900,900,900,898,900,900,900,900
703,900,900,900,898,900,900,900,900
704,900,900,900,898,900,900,900,900
705,900,900,900,898,900,900,900,900
706,900,900,900,898,900,900,900,900
707,900,900,900,898,900,900,900,900
708,900,900,900,898,900,900,900,900
709,900,900,900,898,900,900,900,900
710,900,900,900,898,900,900,900,900
711,900,900,900,898,900,900,900,900
712,900,900,898,898,900,900,900,900
713,900,900,898,898,900,900,900,900
714,900,900,898,898,900,900,900,900
715,900,900,900,898,900,900,900,900
716,900,900,900,898,900,900,900,900
717,900,900,900,898,900,900,900,900
718,900,900,900,898,900,900,900,900
719,900,900,900,898,900,900,900,900
720,900,900,900,898,900,900,900,900
721,900,900,900,898,900,900,900,900
722,900,900,900,898,900,900,900,900
723,900,900,900,898,900,900,900,900
724,900,900,900,898,900,900,900,900
725,900,900,900,898,900,900,900,900
726,900,900,900,898,900,900,900,900
727,900,900,900,898,900,900,900,900
728,900,900,900,898,900,900,900,900
729,900,900,900,898,900,900,900,900
730,900,900,900,898,900,900,900,900
731,900,900,900,898,900,900,900,900
732,900,900,900,898,900,900,900,900
733,900,900,900,898,900,900,900,900
734,900,900,900,898,900,900,900,900
735,900,900,900,898,900,900,900,900
736,900,900,900,898,900,900,900,900
737,900,900,900,898,900,900,900,900
738,900,900,900,898,900,900,900,900
739,900,900,900,898,900,900,900,900
740,900,900,900,898,900,900,900,900
741,900,900,900,898,900,900,900,900
742,900,900,900,898,900,900,900,900
743,900,900,900,898,900,900,900,900
744,900,900,895,898,900,900,900,900
745,900,900,898,898,900,900,900,900
746,900,900,895,898,900,900,900,900
747,900,900,895,898,900,900,900,900
748,900,900,895,898,900,900,900,900
749,900,900,895,898,900,900,900,900
750,900,900,900,898,900,900,900,900
751,900,900,900,898,900,900,900,900
752,900,900,900,898,900,900,900,900
753,900,900,900,898,900,900,900,900
754,900,900,895,898,900,900,900,900
755,900,900,900,898,900,900,900,900
756,900,900,895,898,900,900,900,900
757,900,900,895,898,900,900,900,900
758,900,900,900,898,900,900,900,900
759,900,900,900,898,900,900,900,900
760,900,900,900,898,900,900,900,900
761,900,900,900,898,900,900,900,900
762,900,900,900,898,900,900,900,900
763,900,900,895,898,900,900,900,900
764,900,900,900,898,900,900,900,900
765,900,900,900,898,900,900,900,900
766,900,900,900,898,900,900,900,900
767,900,900,900,898,900,900,900,900
